"","state","gender","school","age","freq"
"572","Puerto Rico","Male","not enrolled","25.to.34",211002
"573","Alabama","Male","not enrolled","35.and.over",1179753
"574","Alaska","Male","not enrolled","35.and.over",172609
"575","Arizona","Male","not enrolled","35.and.over",1543499
"576","Arkansas","Male","not enrolled","35.and.over",723070
"577","California","Male","not enrolled","35.and.over",8804181
"578","Colorado","Male","not enrolled","35.and.over",1236673
"579","Connecticut","Male","not enrolled","35.and.over",926128
"580","Delaware","Male","not enrolled","35.and.over",225107
"581","District of Columbia","Male","not enrolled","35.and.over",132455
"582","Florida","Male","not enrolled","35.and.over",5022599
"583","Georgia","Male","not enrolled","35.and.over",2259672
"584","Hawaii","Male","not enrolled","35.and.over",349338
"585","Idaho","Male","not enrolled","35.and.over",372233
"586","Illinois","Male","not enrolled","35.and.over",3104385
"587","Indiana","Male","not enrolled","35.and.over",1589160
"588","Iowa","Male","not enrolled","35.and.over",770404
"589","Kansas","Male","not enrolled","35.and.over",686216
"590","Kentucky","Male","not enrolled","35.and.over",1095052
"591","Louisiana","Male","not enrolled","35.and.over",1082160
